SPEC,COMM,CODE,TSN
"HEMITRIPTERUS AMERICANUS, EGGS","SEA RAVEN, EGGS",1218,NA
RAJA EGGS,SKATE UNID. EGGS,1224,NA
BUCCINIDAE EGGS,WHELK EGGS (NS),1510,NA
CEPHALOPODA UNID. EGGS,SQUID EGGS,1530,NA
TUNICATA S.P.,TUNICATA S.P.,1810,NA
ASCIDIA SP.,SEA SQUIRTS,1821,NA
DENDRODOA SP.,DENDRODOA SP.,1822,NA
BOLTENIA SP.,SEA POTATO,1823,NA
MOLGULA MANHATTENSIS,SEA GRAPES,1826,NA
HALOCYNTHIA PYRIFORMIS,SEA PEACH,1827,NA
SALPIDAE F.,SALPIDAE F.,1840,NA
BRYOZOANS P.,BRYOZOANS P.,1900,NA
BRYOZOANS ECTOPROCTA P.,BRYOZOANS ECTOPROCTA,1920,NA
BRYOZOANS BRACHIOPODA P.,LAMPSHELLS,1930,NA
TEREBRATULINA SP.,TEREBRATULINA SP.,1932,NA
DECAPODA O.,SHRIMPS,2100,NA
PANDALIDAE F.,PANDALIDAE F.,2200,NA
PANDALUS SP.,PANDALUS SP.,2210,NA
PANDALUS BOREALIS,PANDALUS BOREALIS,2211,NA
PANDALUS MONTAGUI,PANDALUS MONTAGUI,2212,NA
ATLANTOPANDALUS PROPINQVUS,ATLANTOPANDALUS PROPINQUUS,2213,NA
DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS,2214,NA
DICHELOPANDALUS SP.,DICHELOPANDALUS SP.,2215,NA
PASIPHAEA TARDA,PASIPHAEA TARDA,2220,NA
PASIPHAEA MULTIDENTATA,PASIPHAEA MULTIDENTATA,2221,NA
SPIRONTOCARIS SP.,SPIRONTOCARIS,2310,NA
LEBBEUS POLARIS,LEBBEUS POLARIS,2312,NA
SPIRONTOCARIS LILJEBORGII,SPIRONTOCARIS LILJEBORGII,2313,NA
SPIRONTOCARIS SPINUS,SPIRONTOCARIS SPINUS,2316,NA
LEBBEUS GROENLANDICUS,LEBBEUS GROENLANDICUS,2319,NA
LEBBEUS SP.,LEBBEUS SP.,2320,NA
EUALUS MACILENTUS,EUALUS MACILENTUS,2331,NA
EUALUS GAIMARDII,EUALUS GAIMARDII,2333,NA
CRANGONIDAE F.,CRANGONIDAE   F.,2400,NA
ARGIS DENTATA,ARGIS DENTATA,2411,NA
SCLEROCRANGON BOREAS,SCLEROCRANGON BOREAS,2414,NA
PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS,2415,NA
CRANGON SP.,CRANGON SP.,2416,NA
CRANGON SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA,2417,NA
SABINEA SEPTEMCARINATA,SABINEA SEPTEMCARINATA,2421,NA
CANCRIDAE F.,CANCER CRAB (NS),2509,NA
BRACHYURA S.,BRACHIURAN CRABS,2510,NA
CANCER BOREALIS,JONAH CRAB,2511,NA
CANCER IRRORATUS,ATLANTIC ROCK CRAB,2513,NA
PORTUNIDAE F.,PORTUNIDAE F.,2515,NA
MAJIDAE F.,SPIDER CRAB (NS),2519,NA
HYAS SP.,"TOAD CRAB,UNIDENT.",2520,NA
HYAS COARCTATUS,HYAS COARCTATUS,2521,NA
CHIONOECETES SP. (OBSOLETE),"SPIDER/(QUEEN,SNOW)UNID",2522,NA
LITHODES MAJA,NORTHERN STONE CRAB,2523,NA
CANCER SP.,CANCER SP.,2524,NA
LITHODES/NEOLITHODES,SPINY CRAB,2525,NA
CHIONOECETES OPILIO,SNOW CRAB (QUEEN),2526,NA
HYAS ARANEUS,TOAD CRAB,2527,NA
CHACEON QUINQUEDENS,RED DEEPSEA CRAB,2532,NA
AXIUS SERRATUS,AXIUS SERRATUS,2541,NA
HOMARUS AMERICANUS,AMERICAN LOBSTER,2550,NA
GALATHEIDAE F.,GALATHEIDAE F.,2554,NA
MUNIDA IRIS,MUNIDA IRIS,2555,NA
MUNIDA VALIDA,MUNIDA VALIDA,2556,NA
PAGURIDAE F.,HERMIT CRABS,2559,NA
PAGUROIDEA S.F.,PAGUROIDEA S.F.,2560,NA
PAGURUS ACADIANUS,PAGURUS ACADIANUS,2562,NA
MUNIDOPSIS CURVIROSTRA,MUNIDOPSIS CURVIROSTRA,2566,NA
EUPHAUSIACEA O.,KRILL SHRIMP,2600,NA
LIMACINA SP.,LIMACINA SP.,2605,NA
EUPHAUSIIDAE F.,EUPHAUSIIDAE F.,2610,NA
"CTENOPHORES,COELENTERATES,PORIFERA P.","CTENOPHORES,COELENTERATES,PORIFERA",8000,NA
CTENOPHORA P.,COMB JELLIES,8100,NA
ACTINIARIA O.,ANTHOZOA SEA ANEMONES,8208,NA
ANTHOZOA C.,SEA ANEMONE,8300,NA
METRIDIUM SENILE,METRIDIUM SENILE,8311,NA
STOMPHIA COCCINEA,STOMPHIA COCCINEA,8313,NA
HORMATHIA SP.,HORMATHIA SP.,8316,NA
BOLOCERA SP.,BOLOCERA SP.,8317,NA
PENNATULACEA,SEA PEN,8318,NA
PRIMNOA RESEDAEFORMIS,SEA CORN,8322,NA
PARAGORGIA ARBOREA,BUBBLE GUM CORAL,8323,NA
HYDROZOA C.,HYDROZOA C.,8400,NA
SCYPHOZOA C.,JELLYFISHES,8500,NA
PORIFERA P.,SPONGES,8600,NA
POLYMASTIA SP.,POLYMASTIA SP.,8610,NA
HALICLONA SP.,HALICLONA SP.,8618,NA
HALICLONA OCULATA,EYED SPONGE,8621,NA
"UNID REMAINS,DIGESTED","UNID REMAINS,DIGESTED",9000,NA
UNID FISH AND INVERTEBRATES,UNID FISH AND INVERTEBRATES,9001,NA
UNID FISH AND REMAINS,UNID FISH AND REMAINS,9002,NA
UNID FISH AND EGGS,UNID FISH AND EGGS,9003,NA
STONES AND ROCKS,STONES AND ROCKS,9200,NA
THALLOPHYTA C.,"SEAWEED,(ALGAE),KELP",9300,NA
FUCUS SP.,BROWN ROCKWEED,9301,NA
ULVA SP.,SEA LETTUCE,9302,NA
PHAEOPHYCEAE C.,BROWN SEAWEEDS,9303,NA
"FOREIGN ARTICLES,GARBAGE","FOREIGN ARTICLES,GARBAGE",9400,NA
UNIDENTIFIED,FIRST UNIDENTIFIED PER SET,9991,NA
UNIDENTIFIED,SECOND UNIDENTIFIED PER SET,9992,NA
UNIDENTIFIED,THIRD UNIDENTIFIED PER SET,9993,NA
UNIDENTIFIED A,UNIDENTIFIED SPECIES,1091,NA
UNIDENTIFIED D,UNIDENTIFIED SPECIES,1094,NA
MEGANYCTIPHANES NORVEGICA,Northern Krill,2611,NA
EUPHAUSIA SP.,EUPHAUSIA SP.,2612,NA
THYSANOESSA RASCHII,THYSANOESSA RASCHII,2621,NA
MYSIDACEA O.,MYSID SHRIMP,2700,NA
AMPHIPODA O.,AMPHIPODA O.,2800,NA
HYPERIA SP.,HYPERIA SP.,2810,NA
NYMPHON SP.,NYMPHON SP.,2893,NA
COPEPODA S.C.,COPEPODA S.C.,2900,NA
MONSTRILLA SP.,COPEPOD,2908,NA
PHRONIMA SP.,PHRONIMA SP.,2946,NA
ISOPODA O.,RED ISOPOD,2980,NA
CIRRIPEDIA S.C.,BARNACLES,2990,NA
CALATHURA BRANCHIATA,ISOPOD,2999,NA
ANNELIDA P.,SEGMENTED WORMS,3000,NA
POLYCHAETA C.,BRISTLE WORMS,3100,NA
"POLYCHAETA C.,LARGE","LARGE POLYCHAETE, 3MM DIA",3101,NA
"POLYCHAETA C.,SMALL",SMALL POLYCHAETE )3MM DIA,3102,NA
NEREIS SP.,NEREIS SP.,3130,NA
APHRODITA HASTATA,SEA MOUSE,3200,NA
APHRODITA ACULEATA (OBSOLETE),APHRODITA ACULEATA,3211,NA
APHRODITA SP.,APHRODITA SP.,3212,NA
GEPHYREA (SIPUNCULA) P.,GEPHYREA (SIPUNCULA),3300,NA
LEPIDONOTUS SQUAMATUS,LEPIDONOTUS SQUAMATUS,3501,NA
HARMOTHOE SP.,HARMOTHOE SP.,3503,NA
GLYCERA SP.,BLOOD WORMS,3550,NA
SIPUNCULUS SP.,SIPUNCULUS SP.,3700,NA
MOLLUSCA P.,MOLLUSCA P.,4000,NA
GASTROPODA O.,SNAILS AND SLUGS,4200,NA
BUCCINIDAE F.,BUCCINIDAE F.,4209,NA
BUCCINUM SP.,WHELKS,4210,NA
BUCCINUM UNDATUM,"WAVE WHELK,COMMON EDIBLE",4211,NA
BUCCINUM SCALARIFORME,SILKY BUCCINUM,4212,NA
EUSPIRA HEROS,NORTHERN MOONSNAIL,4221,NA
NEPTUNEA DECEMCOSTATA,NEW ENGLAND NEPTUNE,4227,NA
COLUS SP.,SPINDLE SHELL,4228,NA
APORRHAIS SP.,DUCK OR PELICAN FOOT,4230,NA
NASSA BIVITTATA,NASSA BIVITTATA,4233,NA
NASSARIIDAE OR THAISIDAE F.,DOG WHELKS,4235,NA
EPITONIUM SP.,EPITONIUM,4240,NA
AMAUROPSIS ISLANDICA,AMAUROPSIS ISLANDICA,4260,NA
BIVALVIA C.,BIVALVIA C.,4300,NA
ENSIS DIRECTUS,RAZOR SHELL CLAM,4301,NA
ARCTICA ISLANDICA,OCEAN QUAHAUG,4304,NA
ASTARTE UNDATA,ASTARTE UNDATA,4307,NA
"PROTOBRANCHIA, HETERODONTA",CLAMS (NS),4310,NA
VENUS MERCENARIA (OBSOLETE),QUAHAUG,4311,NA
PITAR MORRHUANA,MORRHUA VENUSNA,4314,NA
ASTARTE SP.,ASTARTE SP.,4316,NA
SPISULA SOLIDISSIMA,"BAR,SURF CLAM",4317,NA
MYA ARENARIA,SOFT SHELL CLAM,4318,NA
HIATELLA ARCTICA,SOFT SHELL OR LONG NECK CLAM,4319,NA
PECTINIDAE F.,SCALLOPS,4320,NA
PLACOPECTEN MAGELLANICUS,SEA SCALLOP,4321,NA
CHLAMYS ISLANDICA,ICELAND SCALLOP,4322,NA
MYTILIDAE F.,MUSSELS (NS),4330,NA
MYTILUS EDULIS,COMMON MUSSELS,4331,NA
MODIOLUS MODIOLUS,HORSE MUSSELS,4332,NA
MUSCULUS NIGER,MUSCULUS NIGER,4334,NA
CARDIIDAE F.,COCKLES,4340,NA
SERRIPES GROENLANDICUS,GREENLAND COCKLE,4343,NA
VENERICARDIA BOREALIS,HEART SHELL,4344,NA
CERASTODERMA PINNULATUM,NORTHERN DWARF COCKLE,4345,NA
MACTROMERIS POLYNYMA,"STIMPSON'S SURF CLAM, ARCTIC SURF CLAM",4355,NA
NUDIBRANCHIA O.,SEA SLUGS,4400,NA
DENDRONOTUS SP.,BUSHY BACKSLUG,4410,NA
CEPHALOPODA C.,CEPHALOPODA C.,4500,NA
ILLEX ILLECEBROSUS,SHORT-FIN SQUID,4511,NA
LOLIGO PEALEII,"LONGFIN SQUID, LONGFIN INSHORE SQUID",4512,NA
OMMASTREPHES SP.,OMMASTREPHES SP.,4513,NA
"LOLIGINIDAE,OMMASTREPHIDAE F.",SQUID (NS),4514,NA
ILLEX SP.,ILLEX SP.,4515,NA
INCIRRINA S.O.,OCTOPUS,4520,NA
OCTOPODA O.,OCTOPUS,4521,NA
SEMIROSSIA TENERA,SEMIROSSIA TENERA,4522,NA
OCTOPODIDAE F.,OCTOPODIDAE F.,4529,NA
SEPIOLODAE F.,BOBTAIL SQUID,4536,NA
LOLIGO SP.,LOLIGO SP.,4541,NA
PTERYGIOTEUTHIS SP.,PTERYGIOTEUTHIS SP.,4559,NA
OCTOPOTEUTHIS SP.,OCTOPOTEUTHIS SP.,4562,NA
HISTIOTEUTHIS REVERSA,HISTIOTEUTHIS REVERSA,4580,NA
PYCNOGONIDA S.P.,SEA SPIDER,5100,NA
PYCNOGONUM LITTORALE,ANEMONE SEA SPIDER,5102,NA
ARCHAEOGASTROPODA O.,LIMPET (NS),5200,NA
BATHYNECTES MARAVIGNA (SUPERBUS),PORTUNID CRABS,6006,NA
ASTEROIDEA S.C.,ASTEROIDEA S.C.,6100,NA
ASTERIAS SP.,ASTERIAS SP.,6110,NA
ASTERIAS RUBENS,ASTERIAS RUBENS,6111,NA
LEPTASTERIAS POLARIS,LEPTASTERIAS POLARIS,6113,NA
CTENODISCUS CRISPATUS,MUD STAR,6115,NA
HIPPASTERIA PHRYGIANA,HIPPASTERIA PHRYGIANA,6117,NA
HENRICIA SANGUINOLENTA,BLOOD STAR,6119,NA
SOLASTER ENDECA,PURPLE SUNSTAR,6121,NA
CROSSASTER PAPPOSUS,SPINY SUNSTAR,6123,NA
PTERASTER MILITARIS,PTERASTER MILITARIS,6125,NA
PORANIOMORPHA HISPIDA,PORANIOMORPHA HISPIDA,6129,NA
PORANIOMORPHA BOREALIS,PORANIOMORPHA BOREALIS,6130,NA
DIPLOPTERASTER MULTIPES,DIPLOPTERASTER MULTIPES,6131,NA
PONTASTER SP.,PONTASTER SP.,6133,NA
OPHIUROIDEA S.C.,BRITTLE STAR,6200,NA
OPHIOPHOLIS ACULEATA,DAISY,6211,NA
OPHIURA SP.,OPHIURA SP.,6212,NA
OPHIURA SARSI,OPHIURA SARSI,6213,NA
"GORGONOCEPHALIDAE,ASTERONYCHIDAE F.",BASKET STARS,6300,NA
STRONGYLOCENTROTUS SP.,SEA URCHINS,6400,NA
STRONGYLOCENTROTUS DROEBACHIENSIS,SEA URCHIN (GREEN),6411,NA
BRISASTER FRAGILIS,HEART URCHIN,6413,NA
CLYPEASTEROIDA O.,SAND DOLLARS,6500,NA
ECHINARACHNIUS PARMA,ECHINARACHNIUS PARMA,6511,NA
HOLOTHUROIDEA C.,HOLOTHUROIDEA C.,6600,NA
CUCUMARIA FRONDOSA,SEA CUCUMBER (COMMON),6611,NA
PSOLUS PHANTAPUS,PSOLUS PHANTAPUS,6715,NA
NEMATODA C.,NEMATODA C.,7100,NA
BOTHUS SP.,BOTHUS SP.,8,NA
GADUS MORHUA,COD(ATLANTIC),10,NA
MELANOGRAMMUS AEGLEFINUS,HADDOCK,11,NA
UROPHYCIS TENUIS,WHITE HAKE,12,NA
UROPHYCIS CHUSS,SQUIRREL OR RED HAKE,13,NA
MERLUCCIUS BILINEARIS,SILVER HAKE,14,NA
BROSME BROSME,CUSK,15,NA
POLLACHIUS VIRENS,POLLOCK,16,NA
MERLUCCIUS ALBIDUS,OFF-SHORE HAKE,19,NA
SEBASTES SP.,REDFISH UNSEPARATED,23,NA
LOPHOLATILUS CHAMAELEONTICEPS,TILE FISH,25,NA
HIPPOGLOSSUS HIPPOGLOSSUS,HALIBUT(ATLANTIC),30,NA
REINHARDTIUS HIPPOGLOSSOIDES,"TURBOT,GREENLAND HALIBUT",31,NA
HIPPOGLOSSOIDES PLATESSOIDES,AMERICAN PLAICE,40,NA
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,41,NA
LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER,42,NA
PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER,43,NA
CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,44,NA
PLEURONECTIDAE F.,FLOUNDER UNIDENTIFIED,49,NA
ANARHICHAS LUPUS,STRIPED ATLANTIC WOLFFISH,50,NA
ANARHICHAS MINOR,SPOTTED WOLFFISH,51,NA
ANARHICHAS DENTICULATUS,NORTHERN WOLFFISH,52,NA
CLUPEA HARENGUS,HERRING(ATLANTIC),60,NA
ALOSA SAPIDISSIMA,SHAD AMERICAN,61,NA
ALOSA PSEUDOHARENGUS,ALEWIFE,62,NA
OSMERUS MORDAX,RAINBOW SMELT,63,NA
MALLOTUS VILLOSUS,CAPELIN,64,NA
SCOMBER SCOMBRUS,MACKEREL(ATLANTIC),70,NA
COOKEOLUS BOOPS,BULLEYE,78,NA
"UNID. FISH (LARVAE,JUVENILE AND ADULTS)",UNID. FISH,90,NA
FINFISHES (NS),FINFISHES (NS),100,NA
STENOTOMUS CHRYSOPS,SCUP,102,NA
UROPHYCIS REGIA,SPOTTED HAKE,111,NA
UROPHYCIS CHESTERI,LONGFIN HAKE,112,NA
ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,114,NA
CENTROPRISTIS STRIATA,SOUTHERN SEA BASS,121,NA
TAUTOGOLABRUS ADSPERSUS,CUNNER,122,NA
HELICOLENUS DACTYLOPTERUS,ROSEFISH(BLACK BELLY),123,NA
DIAPHUS EFFULGENS,DIAPHUS EFFULGENS,125,NA
PARALICHTHYS DENTATUS,SUMMER FLOUNDER,141,NA
HIPPOGLOSSINA OBLONGA,FOURSPOT FLOUNDER,142,NA
SCOPHTHALMUS AQUOSUS,BRILL/WINDOWPANE,143,NA
PARASUDIS TRUCULENTA,LONGNOSE GREENEYE,149,NA
MYCTOPHIDAE,LANTERNFISH (NS),150,NA
DIAPHUS DUMERILII,DIAPHUS DUMERILII,152,NA
CHLOROPHTHALMUS AGASSIZI,SHORT-NOSE GREENEYE,156,NA
BENTHOSEMA GLACIALE,GLACIER LANTERNFISH,157,NA
MAUROLICUS MUELLERI,MUELLER'S PEARLSIDES,158,NA
STOMIAS BOA,BOA DRAGONFISH,159,NA
ARGENTINA SILUS,ARGENTINE(ATLANTIC),160,NA
CERATOSCOPELUS MADERENSIS,"LANTERNFISH,HORNED",163,NA
BREVOORTIA TYRANNUS,MENHADEN(ATLANTIC),164,NA
ALOSA AESTIVALIS,BLUEBACK HERRING,165,NA
CHAULIODUS SLOANI,VIPERFISH,169,NA
MALACOSTEUS NIGER,LOOSEJAW,177,NA
NOTOSCOPELUS RESPLENDENS,LANTERNFISH PATCHWORK,183,NA
UROPHYCIS SP.,HAKE (NS),193,NA
MORIDAE,MORAS,194,NA
DIPTURUS LAEVIS,BARNDOOR SKATE,200,NA
AMBLYRAJA RADIATA,THORNY SKATE,201,NA
MALACORAJA SENTA,SMOOTH SKATE,202,NA
LEUCORAJA ERINACEA,LITTLE SKATE,203,NA
LEUCORAJA OCELLATA,WINTER SKATE,204,NA
RAJA EGLANTERIA,BRIER SKATE,206,NA
RAJELLA FYLLAE,ROUND SKATE,207,NA
RAJIDAE F.,SKATES (NS),211,NA
CARCHARIAS TAURUS,"SHARK, SAND",215,NA
TORPEDO NOBILIANA,ATLANTIC TORPEDO,216,NA
SQUALUS ACANTHIAS,SPINY DOGFISH,220,NA
CENTROSCYLLIUM FABRICII,BLACK DOGFISH,221,NA
MUSTELUS CANIS,SMOOTH DOGFISH,222,NA
LAMNA NASUS,"PORBEAGLE,MACKEREL SHARK",230,NA
PETROMYZON MARINUS,SEA LAMPREY,240,NA
MYXINE GLUTINOSA,NORTHERN HAGFISH,241,NA
SCORPAENIDAE F.,SCORPIONFISHES,280,NA
MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN,300,NA
MYOXOCEPHALUS SCORPIUS,SHORTHORN SCULPIN,301,NA
MYOXOCEPHALUS AENAEUS,GRUBBY OR LITTLE SCULPIN,303,NA
TRIGLOPS MURRAYI,MAILED SCULPIN,304,NA
ARTEDIELLUS UNCINATUS,SNOWFLAKE HOOKEAR SCULPIN,306,NA
COTTUNCULUS MICROPS,POLAR SCULPIN,307,NA
COTTUNCULUS THOMPSONI,PALLID SCULPIN,308,NA
TRIGLOPS SP.,SCULPIN (NS),309,NA
COTTIDAE F. UNID.,SCULPIN UNIDENTIFIED,311,NA
COTTIDAE F.,SCULPINS,312,NA
ICELUS BICORNIS,TWOHORN SCULPIN,313,NA
ICELUS SPATULA,SPATULATE SCULPIN,314,NA
HEMITRIPTERUS AMERICANUS,SEA RAVEN,320,NA
ARTEDIELLUS SP.,HOOKEAR SCULPIN (NS),323,NA
TRIGLIDAE F.,SEAROBINS,329,NA
PRIONOTUS CAROLINUS,"NORTHERN,COMMON  SEA ROBIN",330,NA
PERISTEDION MINIATUM,ARMORED SEA ROBIN,331,NA
ASPIDOPHOROIDES MONOPTERYGIUS,ALLIGATORFISH,340,NA
LEPTAGONUS DECAGONUS,ATLANTIC SEA POACHER,350,NA
AGONIDAE F.,ALLIGATOR FISH (NS),351,NA
GASTEROSTEIDAE F.,STICKLEBACK UNIDENTIFIED,360,NA
GASTEROSTEUS ACULEATUS,THREESPINE STICKLEBACK,361,NA
POLYIPNUS SP.,POLYIPNUS SP.,376,NA
ANTIGONIA CAPROS,DEEPBODY BOARFISH,384,NA
ETROPUS MICROSTOMUS,SMALLMOUTH FLOUNDER,386,NA
LOPHIUS AMERICANUS,"MONKFISH,GOOSEFISH,ANGLER",400,NA
NEZUMIA BAIRDII,MARLIN-SPIKE GRENADIER,410,NA
MACROURUS BERGLAX,ROUGHHEAD GRENADIER,411,NA
TRACHYRINCUS MURRAYI,ROUGHNOSE GRENADIER,412,NA
CORYPHAENOIDES RUPESTRIS,ROUNDNOSE GRENADIER,414,NA
CONGER SP.,CONGER SP.,431,NA
ANTHIAS NICHOLSI,YELLOWFIN BASS,498,NA
LIPARIS SP.,SEASNAIL UNIDENTIFIED,500,NA
CYCLOPTERUS LUMPUS,LUMPFISH,501,NA
EUMICROTREMUS SPINOSUS,ATLANTIC SPINY LUMPSUCKER,502,NA
LIPARIS ATLANTICUS,ATLANTIC SEASNAIL,503,NA
LIPARIS LIPARIS,STRIPED SEASNAIL,504,NA
LIPARIS FABRICII,"SEASNAIL,GELATINOUS",505,NA
LIPARIS INQUILINUS,INQUILINE SEASNAIL,508,NA
PARALIPARIS COPEI,BLACKSNOUT SEASNAIL,511,NA
LIPARIS GIBBUS,"SEASNAIL,DUSKY",512,NA
LIPARIS COHENI,GULF SEA SNAIL,513,NA
CAREPROCTUS REINHARDTI,SEA TADPOLE,520,NA
PARALEPIS  SP.,BARRACUDINA (NS),565,NA
SYNAGROPS BELLA,BLACKMOUTH BASS,576,NA
CHLOROPHTHALMIDAE,GREENEYES (NS),593,NA
CYTTOPSIS ROSEA,RED DORY,595,NA
ZOARCIDAE F.,EELPOUTS (NS),598,NA
ANGUILLA ROSTRATA,AMERICAN EEL,600,NA
GEODIA SPP.,GEODIA SPP.,8364,NA
LEUCORAJA SP.,Skate;LITTLE OR WINTER; Unspecified,1191,NA
LAEMONEMA BARBATULUM,LAEMONEMA BARBATULUM,1076,NA
FLUSTRA FOLIACEA,LEMONWEED,1901,NA
URASTERIAS LINCKI,URASTERIAS LINCKI,1280,NA
HENRICIA SP.,BLOOD STAR (GENUS),6118,NA
ASTERIAS FORBESI,ASTERIAS FORBESI,6109,NA
PORANIA PULVILIS,PORANIA PULVILIS,6102,NA
LEPTASTERIAS SP.,LEPTASTERIAS SP.,6114,NA
PSEUDARCHASTER SP,PSEUDARCHASTER SP,6116,NA
MOLLUSCA (EMPTY),MOLLUSCA SHELLS EMPTY,4348,NA
ACANTHEPHYRA PURPUREA,ACANTHEPHYRA PURPUREA,2362,NA
ARISTEIDAE F,ARISTEIDAE F,2470,NA
POLYMASTIA MAMMILARIS,POLYMASTIA MAMMILARIS,8611,NA
TENTORIUM SEMISUBERITES,TENTORIUM SEMISUBERITES,8612,NA
SUBERITES FICUS,FIG SPONGE,8613,NA
CRAB,CRAB,2507,NA
SEA CORALS (NS),SEA CORALS (NS),8530,NA
ORGANIC DEBRIS,ORGANIC DEBRIS,9630,NA
ANTHOZOA,CORAL (NS),8332,NA
PECTINIDAE SHELLS,SCALLOP SHELLS,4349,NA
OVALIPES OCELLATUS,LADY CRAB,2539,NA
GERSEMIA RUBIFORMIS,"SEA CAULIFLOWER, STRAWBERRIES",8324,NA
SOFT CORAL UNIDENTIFIED,SOFT CORAL UNIDENTIFIED,8327,NA
PARAMURICEA SPP,PARAMURICEA SPP,8333,NA
FLABELLUM SP,CUP CORAL,8335,NA
MYCALE LINGUA,MYCALE LINGUA,8616,NA
LEATHESIA DIFFORMIS,LEATHESIA DIFFORMIS,9313,NA
LAMINARIA LONGICRURIS,LASAGNA KELP,9321,NA
