SPEC,COMM,CODE,TSN
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,41,NA
LIMANDA FERRUGINEA,YELLOWTAIL FLOUNDER,42,NA
PSEUDOPLEURONECTES AMERICANUS,WINTER FLOUNDER,43,NA
CITHARICHTHYS ARCTIFRONS,GULF STREAM FLOUNDER,44,NA
ANARHICHAS LUPUS,STRIPED ATLANTIC WOLFFISH,50,NA
ANARHICHAS MINOR,SPOTTED WOLFFISH,51,NA
ANARHICHAS DENTICULATUS,NORTHERN WOLFFISH,52,NA
CLUPEA HARENGUS,HERRING(ATLANTIC),60,NA
ALOSA SAPIDISSIMA,SHAD AMERICAN,61,NA
ALOSA PSEUDOHARENGUS,ALEWIFE,62,NA
OSMERUS MORDAX,RAINBOW SMELT,63,NA
MALLOTUS VILLOSUS,CAPELIN,64,NA
SCOMBER SCOMBRUS,MACKEREL(ATLANTIC),70,NA
XIPHIAS GLADIUS,SWORDFISH,72,NA
REMORA BRACHYPTERA,SPEARFISH REMORA,83,NA
UROPHYCIS REGIA,SPOTTED HAKE,111,NA
UROPHYCIS CHESTERI,LONGFIN HAKE,112,NA
ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,114,NA
GAIDROPSARUS ENSIS,THREEBEARD ROCKLING,115,NA
TAUTOGOLABRUS ADSPERSUS,CUNNER,122,NA
HELICOLENUS DACTYLOPTERUS,ROSEFISH(BLACK BELLY),123,NA
HIPPOGLOSSINA OBLONGA,FOURSPOT FLOUNDER,142,NA
SCOPHTHALMUS AQUOSUS,BRILL/WINDOWPANE,143,NA
PARASUDIS TRUCULENTA,LONGNOSE GREENEYE,149,NA
MYCTOPHIDAE,LANTERNFISH (NS),150,NA
DIAPHUS DUMERILII,DIAPHUS DUMERILII,152,NA
CHLOROPHTHALMUS AGASSIZI,SHORT-NOSE GREENEYE,156,NA
MAUROLICUS MUELLERI,MUELLER'S PEARLSIDES,158,NA
STOMIAS BOA,BOA DRAGONFISH,159,NA
ARGENTINA SILUS,ARGENTINE(ATLANTIC),160,NA
CHAULIODUS SLOANI,VIPERFISH,169,NA
DIPTURUS LAEVIS,BARNDOOR SKATE,200,NA
AMBLYRAJA RADIATA,THORNY SKATE,201,NA
MALACORAJA SENTA,SMOOTH SKATE,202,NA
LEUCORAJA ERINACEA,LITTLE SKATE,203,NA
LEUCORAJA OCELLATA,WINTER SKATE,204,NA
SQUALUS ACANTHIAS,SPINY DOGFISH,220,NA
CENTROSCYLLIUM FABRICII,BLACK DOGFISH,221,NA
MYXINE GLUTINOSA,NORTHERN HAGFISH,241,NA
ACIPENSER OXYRHYNCHUS,AMERICAN ATLANT STURGEON,243,NA
MYOXOCEPHALUS OCTODECEMSPINOSUS,LONGHORN SCULPIN,300,NA
MYOXOCEPHALUS SCORPIUS,SHORTHORN SCULPIN,301,NA
TRIGLOPS MURRAYI,MAILED SCULPIN,304,NA
ARTEDIELLUS UNCINATUS,SNOWFLAKE HOOKEAR SCULPIN,306,NA
COTTUNCULUS MICROPS,POLAR SCULPIN,307,NA
HEMITRIPTERUS AMERICANUS,SEA RAVEN,320,NA
PRIONOTUS CAROLINUS,"NORTHERN,COMMON  SEA ROBIN",330,NA
PERISTEDION MINIATUM,ARMORED SEA ROBIN,331,NA
ASPIDOPHOROIDES MONOPTERYGIUS,ALLIGATORFISH,340,NA
LEPTAGONUS DECAGONUS,ATLANTIC SEA POACHER,350,NA
AGONIDAE F.,ALLIGATOR FISH (NS),351,NA
GASTEROSTEIDAE F.,STICKLEBACK UNIDENTIFIED,360,NA
LOPHIUS AMERICANUS,"MONKFISH,GOOSEFISH,ANGLER",400,NA
NEZUMIA BAIRDII,MARLIN-SPIKE GRENADIER,410,NA
CAELORINCHUS CAELORINCHUS,LONGNOSE GRENADIER,413,NA
CORYPHAENOIDES RUPESTRIS,ROUNDNOSE GRENADIER,414,NA
LIPARIS SP.,SEASNAIL UNIDENTIFIED,500,NA
CYCLOPTERUS LUMPUS,LUMPFISH,501,NA
PARABLENNIUS MARMOREUS,SEAWEED BLENNY,586,NA
ANGUILLA ROSTRATA,AMERICAN EEL,600,NA
