SPEC,COMM,CODE,TSN
GRAMMATOSTOMIAS DENTATUS,TORPEDO DRAGONFISH,717,NA
SCOMBERESOX SAURUS,"ATLANTIC SAURY,NEEDLEFISH",720,NA
ALEPOCEPHALUS BAIRDII,BAIRDS SMOOTHEAD,724,NA
XENODERMICHTHYS COPEI,ATLANTIC GYMNAST,725,NA
OMOSUDIS LOWEI,OMOSUDIS LOWEI,729,NA
MOLA MOLA,OCEAN SUNFISH,730,NA
ALEPISAURUS BREVIROSTRIS,SHORTNOSE LANCETFISH,731,NA
ANOTOPTERUS PHARAO,DAGGERTOOTH,732,NA
POLYACANTHONOTUS RISSOANUS,SHORTSPINE TAPIRFISH,739,NA
NOTACANTHUS CHEMNITZII,SPINY EEL,740,NA
STERNOPTYCHIDAE F.,UNIDENTIFIED HATCHETFISH,741,NA
DIBRANCHUS ATLANTICUS,ATLANTIC BATFISH,742,NA
HYPEROGLYPHE PERCIFORMIS,AMERICAN BARRELFISH,743,NA
POLYMIXIA NOBILIS,STOUT BEARD FISH,744,NA
GONOSTOMATIDAE F. (NS),ANGLEMOUTH,745,NA
SPHOEROIDES MACULATUS,NORTHERN PUFFER,746,NA
CONOCARA SALMONEA,SLICKHEAD,749,NA
HOWELLA BRODIEI,CARDINALFISH,750,NA
CYCLOTHONE SP.,ANGLEMOUTH (NS),755,NA
LOBIANCHIA DOFLEINI,DOFLEINS LANTERNFISH,758,NA
ONEIRODES SP.,ONEIRODES SP.,768,NA
POLYMIXIA LOWEI,BEARDFISH,771,NA
ANOPLOGASTER CORNUTA,OGREFISH,774,NA
BERYX DECADACTYLUS,ALFONSIN A CASTA LARGA,775,NA
GRAMMICOLEPIS BRACHIUSCULUS,THORNY TINSELFISH,777,NA
HIPPOCAMPUS ERECTUS,LINED SEAHORSE,779,NA
APHANOPUS CARBO,BLACK SCABBARDFISH,784,NA
ARIOMMA BONDI,SILVER-RAG,785,NA
SCOPELOGADUS BEANII,BEANS BLUEBACK,795,NA
MELAMPHAES MICROPS,MELAMPHAES MICROPS,798,NA
POROMITRA CRASSICEPS,POROMITRA CRASSICEPS,800,NA
SYMPHURUS SP.,TONGUEFISH,805,NA
MYCTOPHIFORMES O.,MYCTOPHIFORMES,811,NA
BATHYSAURUS FEROX,BATHYSAURUS FEROX,814,NA
SYMPHURUS DIOMEDEANUS,TONGUE FISH,816,NA
MALACOSTEIDAE F.,LOOSEJAWS (NS),819,NA
CUBICEPS PAUCIRADIATUS,CUBICEPS PAUCIRADIATUS,820,NA
SPHOEROIDES SP.,PUFFER,827,NA
SAURIDA BRASILIENSIS,"LIZARDFISH,LARGESCALE",833,NA
HALIEUTICHTHYS ACULEATUS,"BATFISH,SPINY",844,NA
LYCODES EUDIPLEUROSTICTUS,EELPOUT (NS),845,NA
MELANOSTOMIAS SP.,MELANOSTOMIAS SP.,859,NA
DICROLENE INTRONIGER,DICROLENE INTRONIGER,862,NA
BATHYPTEROIS QUADRIFILIS,BATHYPTEROIS QUADRIFILIS,863,NA
ALDROVANDIA PHALACRA,ALDROVANDIA PHALACRA,865,NA
XENOLEPIDICHTHYS DALGLEISHI,SPOTTED TINSELFISH,866,NA
PARALIPARIS CALIDUS,SEASNAIL,868,NA
PARALIPARIS GARMANI,SEASNAIL,869,NA
EPIGONUS SP.,EPIGONUS SP.,878,NA
ARTEDIELLUS ATLANTICUS,"HOOKEAR SCULPIN,ATL.",880,NA
GONOSTOMA BATHYPHILUM,GONOSTOMA BATHYPHILUM,883,NA
CHIASMODON BOLANGERI,CHIASMODON BOLANGERI,887,NA
LAMPRIFORMES,LAMPRIFORMES,891,NA
PHOCIDAE F.,SEALS (NS),900,NA
CHIASMODON SP.,CHIASMODON SP.,909,NA
HOLTBYRNIA ANOMALA,HOLTBYRNIA ANOMALA,914,NA
CAREPROCTUS RANULA,SCOTIAN SNAILFISH,924,NA
ARGYROPELECUS SP.,ARGYROPELECUS SP.,928,NA
DIPLOPHOS MADERENSIS,DIPLOPHOS MADERENSIS,935,NA
POLYMETME CORYTHAEOLA,POLYMETME CORYTHAEOLA,942,NA
APRISTURUS LAURUSSONI,APRISTURUS LAURUSSONI,947,NA
BOROSTOMIAS  SP.,"DRAGONFISH,BIGHEAD (NS)",949,NA
ROULEINA MADERENSIS,SMOOTHHEAD,963,NA
RAJA GARMANI,"SKATE,ROSETTE",967,NA
ALEPOCEPHALUS SP.,ALEPOCEPHALUS SP.,979,NA
APRISTURUS SP.,APRISTURUS SP.,983,NA
EGGS UNID.,EGGS UNID.,1100,NA
FISH EGGS-UNIDENTIFIED,FISH EGGS-UNIDENTIFIED,1200,NA
RAJA EGGS,SKATE UNID. EGGS,1224,NA
HYPPOLYTID EGGS,HIPPOLYTID EGGS,1312,NA
MOLLUSCA EGGS,MOLLUSC EGGS UNID.,1500,NA
BUCCINIDAE EGGS,WHELK EGGS (NS),1510,NA
GASTEROPODA EGGS,SNAIL/SLUG EGGS,1511,NA
CEPHALOPODA UNID. EGGS,SQUID EGGS,1530,NA
INVERTEBRATE EGGS,INVERTEBRATE EGGS,1600,NA
MARINE INVERTEBRATA (NS),MARINE INVERTEBRATES (NS),1701,NA
PROTOCHORDATA SP.,PROTOCHORDATA SP.,1800,NA
TUNICATA S.P.,TUNICATA S.P.,1810,NA
MOLGULIDAE F.,MOLGULIDAE F.,1815,NA
ASCIDIA SP.,SEA SQUIRTS,1821,NA
BOLTENIA SP.,SEA POTATO,1823,NA
MOLGULA MANHATTENSIS,SEA GRAPES,1826,NA
HALOCYNTHIA PYRIFORMIS,SEA PEACH,1827,NA
SALPIDAE F.,SALPIDAE F.,1840,NA
BRYOZOANS P.,BRYOZOANS P.,1900,NA
BRYOZOANS ECTOPROCTA P.,BRYOZOANS ECTOPROCTA,1920,NA
BRYOZOANS BRACHIOPODA P.,LAMPSHELLS,1930,NA
TEREBRATULINA SP.,TEREBRATULINA SP.,1932,NA
CRUSTACEA C.,CRUSTACEA C.,2000,NA
CRUSTACEA LARVAE,CRUSTACEA LARVAE,2001,NA
DECAPODA O.,SHRIMPS,2100,NA
PANDALIDAE F.,PANDALIDAE F.,2200,NA
PANDALUS SP.,PANDALUS SP.,2210,NA
PANDALUS BOREALIS,PANDALUS BOREALIS,2211,NA
PANDALUS MONTAGUI,PANDALUS MONTAGUI,2212,NA
ATLANTOPANDALUS PROPINQVUS,ATLANTOPANDALUS PROPINQUUS,2213,NA
DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS,2214,NA
PASIPHAEIDAE F.,PASIPHAEIDAE F.,2219,NA
PASIPHAEA TARDA,PASIPHAEA TARDA,2220,NA
PASIPHAEA MULTIDENTATA,PASIPHAEA MULTIDENTATA,2221,NA
SPIRONTOCARIS SP.,SPIRONTOCARIS,2310,NA
SPIRONTOCARIS FABRICII (OBSOLETE),SPIRONTOCARIS FABRICI,2311,NA
LEBBEUS POLARIS,LEBBEUS POLARIS,2312,NA
SPIRONTOCARIS LILJEBORGII,SPIRONTOCARIS LILJEBORGII,2313,NA
SPIRONTOCARIS PHIPPSII,SPIRONTOCARIS PHIPPSII,2315,NA
SPIRONTOCARIS SPINUS,SPIRONTOCARIS SPINUS,2316,NA
LEBBEUS GROENLANDICUS,LEBBEUS GROENLANDICUS,2319,NA
LEBBEUS SP.,LEBBEUS SP.,2320,NA
EUALUS SP.,EUALUS SP.,2330,NA
EUALUS MACILENTUS,EUALUS MACILENTUS,2331,NA
EUALUS FABRICII,EUALUS FABRICII,2332,NA
EUALUS GAIMARDII,EUALUS GAIMARDII,2333,NA
CRANGONIDAE F.,CRANGONIDAE   F.,2400,NA
ARGIS DENTATA,ARGIS DENTATA,2411,NA
SCLEROCRANGON BOREAS,SCLEROCRANGON BOREAS,2414,NA
PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS,2415,NA
CRANGON SP.,CRANGON SP.,2416,NA
CRANGON SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA,2417,NA
SABINEA SP.,SABINEA SP.,2420,NA
SABINEA SEPTEMCARINATA,SABINEA SEPTEMCARINATA,2421,NA
BRACHYURA S.,BRACHIURAN CRABS,2510,NA
CANCER BOREALIS,JONAH CRAB,2511,NA
CANCER IRRORATUS,ATLANTIC ROCK CRAB,2513,NA
PORTUNIDAE F.,PORTUNIDAE F.,2515,NA
MAJIDAE F.,SPIDER CRAB (NS),2519,NA
HYAS SP.,"TOAD CRAB,UNIDENT.",2520,NA
HYAS COARCTATUS,HYAS COARCTATUS,2521,NA
CHIONOECETES SP. (OBSOLETE),"SPIDER/(QUEEN,SNOW)UNID",2522,NA
LITHODES MAJA,NORTHERN STONE CRAB,2523,NA
CANCER SP.,CANCER SP.,2524,NA
LITHODES/NEOLITHODES,SPINY CRAB,2525,NA
CHIONOECETES OPILIO,SNOW CRAB (QUEEN),2526,NA
HYAS ARANEUS,TOAD CRAB,2527,NA
NEOLITHODES GRIMALDII,PORCUPINE CRAB,2528,NA
CALAPPA MEGALOPS,CALAPPA MEGALOPS,2529,NA
CHACEON QUINQUEDENS,RED DEEPSEA CRAB,2532,NA
AXIIDAE F.,AXIIDAE F.,2540,NA
AXIUS SERRATUS,AXIUS SERRATUS,2541,NA
HOMARUS AMERICANUS,AMERICAN LOBSTER,2550,NA
GALATHEIDAE F.,GALATHEIDAE F.,2554,NA
MUNIDA IRIS,MUNIDA IRIS,2555,NA
MUNIDA VALIDA,MUNIDA VALIDA,2556,NA
PAGURUS POLITUS,PAGURUS POLITUS,2558,NA
PAGURIDAE F.,HERMIT CRABS,2559,NA
PAGUROIDEA S.F.,PAGUROIDEA S.F.,2560,NA
PAGURUS SP.,PAGURUS SP.,2561,NA
PAGURUS ACADIANUS,PAGURUS ACADIANUS,2562,NA
THALASSINIDAE S.F.,MUD SHRIMP,2565,NA
MUNIDOPSIS CURVIROSTRA,MUNIDOPSIS CURVIROSTRA,2566,NA
PAGURUS ARCUATUS,PAGURUS ARCUATUS,2568,NA
EUPHAUSIACEA O.,KRILL SHRIMP,2600,NA
EUPHAUSIIDAE F.,EUPHAUSIIDAE F.,2610,NA
"CTENOPHORES,COELENTERATES,PORIFERA P.","CTENOPHORES,COELENTERATES,PORIFERA",8000,NA
CTENOPHORA P.,COMB JELLIES,8100,NA
COELENTERATA P.,COELENTERATA P.,8200,NA
ACTINIARIA O.,ANTHOZOA SEA ANEMONES,8208,NA
ANTHOZOA C.,SEA ANEMONE,8300,NA
METRIDIUM SENILE,METRIDIUM SENILE,8311,NA
STOMPHIA COCCINEA,STOMPHIA COCCINEA,8313,NA
TEALIA  FELINA,TEALIA  FELINA,8315,NA
HORMATHIA SP.,HORMATHIA SP.,8316,NA
BOLOCERA SP.,BOLOCERA SP.,8317,NA
PENNATULACEA,SEA PEN,8318,NA
PACHYCERIANTHUS BOREALIS,PACHYCERIANTHUS BOREALIS,8320,NA
PRIMNOA RESEDAEFORMIS,SEA CORN,8322,NA
PARAGORGIA ARBOREA,BUBBLE GUM CORAL,8323,NA
HYDROZOA C.,HYDROZOA C.,8400,NA
SERTULARIA SP.,GARLAND HYDROIDS,8405,NA
SCYPHOZOA C.,JELLYFISHES,8500,NA
CYANEA CAPILLATA,PINK JELLYFISH,8511,NA
PELAGIA NOCTILUCA,JELLYFISH,8520,NA
PORIFERA P.,SPONGES,8600,NA
POLYMASTIA SP.,POLYMASTIA SP.,8610,NA
HALICLONA SP.,HALICLONA SP.,8618,NA
HALICLONA OCULATA,EYED SPONGE,8621,NA
SIPHONOPHORA O.,SIPHONOPHORA O.,8700,NA
STONES AND ROCKS,STONES AND ROCKS,9200,NA
THALLOPHYTA C.,"SEAWEED,(ALGAE),KELP",9300,NA
FUCUS SP.,BROWN ROCKWEED,9301,NA
ULVA SP.,SEA LETTUCE,9302,NA
PHAEOPHYCEAE C.,BROWN SEAWEEDS,9303,NA
"FOREIGN ARTICLES,GARBAGE","FOREIGN ARTICLES,GARBAGE",9400,NA
HOPLOSTETHUS ATLANTICUS,ORANGE ROUGHY,1006,NA
UNIDENTIFIED,FIRST UNIDENTIFIED PER SET,9991,NA
UNIDENTIFIED,SECOND UNIDENTIFIED PER SET,9992,NA
UNIDENTIFIED,THIRD UNIDENTIFIED PER SET,9993,NA
UNIDENTIFIED,FOURTH UNIDENTIFIED PER SET,9994,NA
UNIDENTIFIED,FIFTH UNIDENTIFIED PER SET,9995,NA
UNIDENTIFIED,SIXTH UNIDENTIFIED PER SET,9996,NA
UNIDENTIFIED,SEVENTH UNIDENTIFIED PER SET,9997,NA
UNIDENTIFIED,EIGHTH UNIDENTIFIED PER SET,9998,NA
RESERVED,RESERVED,9999,NA
NEZUMIA SP.,NEZUMIA SP.,1013,NA
ROULEINA ATTRITA,ROULEINA ATTRITA,1017,NA
ILYOPHIS SP,ILYOPHIS SP,1024,NA
VENEFICA PROCERA,VENEFICA PROCERA,1025,NA
HALOSAUROPSIS MACROCHIR,HALOSAUROPSIS MACROCHIR,1028,NA
ALDROVANDIA SP,ALDROVANDIA SP,1029,NA
ALDROVANDIA AFFINIS,ALDROVANDIA AFFINIS,1030,NA
BATHYTROCTES MICROLEPIS,BATHYTROCTES MICROLEPIS,1032,NA
BATHYPTEROIS SP.,BATHYPTEROIS SP.,1037,NA
BATHYPTEROIS GRALLATOR,BATHYPTEROIS GRALLATOR,1038,NA
BATHYPTEROIS LONGIPES,BATHYPTEROIS LONGIPES,1039,NA
LAEMONEMA SP.,LAEMONEMA SP.,1041,NA
NEOCYTTUS HELGAE,BLACK OREO,1050,NA
ROULEINA SP.,ROULEINA SP.,1052,NA
UNIDENTIFIED A,UNIDENTIFIED SPECIES,1091,NA
UNIDENTIFIED B,UNIDENTIFIED SPECIES,1092,NA
UNIDENTIFIED C,UNIDENTIFIED SPECIES,1093,NA
UNIDENTIFIED D,UNIDENTIFIED SPECIES,1094,NA
UNIDENTIFIED E,UNIDENTIFIED SPECIES,1095,NA
PARALEPIS ATLANTICA KROYER,DUCKBILL BARRACUDINA,1054,NA
STEREOMASTIS SCULPTA,STEREOMASTIS SCULPTA,1056,NA
MEGANYCTIPHANES NORVEGICA,Northern Krill,2611,NA
EUPHAUSIA SP.,EUPHAUSIA SP.,2612,NA
THYSANOESSA RASCHII,THYSANOESSA RASCHII,2621,NA
MYSIDACEA O.,MYSID SHRIMP,2700,NA
AMPHIPODA O.,AMPHIPODA O.,2800,NA
HYPERIA OCULATA,AMPHIPOD,2802,NA
ARRHIS PHYLLONIX,AMPHIPODS,2803,NA
PARATHEMISTO SP.,PARATHEMISTO SP.,2809,NA
HYPERIA SP.,HYPERIA SP.,2810,NA
GAMMARIDAE F.,GAMMARIDAE F.,2811,NA
ANONYX SP.,ANONYX SP.,2833,NA
ANONYX SARSI,ANONYX SARSI,2844,NA
RHACHOTROPIS ACULEATA,RHACHOTROPIS ACULEATA,2848,NA
AMPELISCA MACROCEPHALA,AMPHIPOD,2864,NA
NYMPHON SP.,NYMPHON SP.,2893,NA
COPEPODA S.C.,COPEPODA S.C.,2900,NA
HYPERIIDAE F.,HYPERIIDAE F.,2906,NA
MONSTRILLA SP.,COPEPOD,2908,NA
OITHONA SPINIROSTRIS,OITHONA SPINIROSTRIS,2930,NA
TANAIDAE F.,TANAIDAE F.,2940,NA
PHRONIMA SP.,PHRONIMA SP.,2946,NA
ISOPODA O.,RED ISOPOD,2980,NA
AEGA PSORA,AEGA PSORA,2981,NA
CIRRIPEDIA S.C.,BARNACLES,2990,NA
BALANIDAE F.,BALANIDAE F.,2995,NA
CALATHURA BRANCHIATA,ISOPOD,2999,NA
ANNELIDA P.,SEGMENTED WORMS,3000,NA
EUNICIDAE F.,EUNICIDAE F.,3085,NA
POLYCHAETA C.,BRISTLE WORMS,3100,NA
"POLYCHAETA C.,LARGE","LARGE POLYCHAETE, 3MM DIA",3101,NA
"POLYCHAETA C.,SMALL",SMALL POLYCHAETE )3MM DIA,3102,NA
NEPHTYS SP.,NEPHTYS SP.,3104,NA
NEPHTYIDAE F.,NEPHTYIDFAE F.,3115,NA
NEREIS SP.,NEREIS SP.,3130,NA
SABELLIDAE F.,SABELLIDAE F.,3138,NA
MALDANIDAE F.,FILAMENT TUBE WORM,3143,NA
PECTINARIA SP.,PECTINARIA SP.,3144,NA
POTAMILLA NEGLECTA,FAN WORM,3147,NA
NEREIDAE F.,NEREIDAE F.,3150,NA
OPHELIA SP.,OPHELIA SP.,3159,NA
TEREBELLIDAE F.,TEREBELLIDAE F.,3160,NA
ARENICOLA MARINA,LUGWORM,3161,NA
SPIONIDA F.,SPIONIDA F.,3164,NA
APHRODITA HASTATA,SEA MOUSE,3200,NA
APHRODITIDAE F.,APHRODITIDAE F.,3210,NA
APHRODITA SP.,APHRODITA SP.,3212,NA
CHONE SP.,CHONE SP.,3221,NA
GEPHYREA (SIPUNCULA) P.,GEPHYREA (SIPUNCULA),3300,NA
POLYNOIDAE F.,POLYNOIDAE F.,3500,NA
LEPIDONOTUS SQUAMATUS,LEPIDONOTUS SQUAMATUS,3501,NA
HARMOTHOE SP.,HARMOTHOE SP.,3503,NA
HARMOTHOE EXTENUATA,HARMOTHOE EXTENUATA,3505,NA
GLYCERA SP.,BLOOD WORMS,3550,NA
GLYCERA CAPITATA,BLOOD WORM,3551,NA
HETEROPODA,"SEA SNAILS,SEA BUTTERFLIES, PTEROPODA",3600,NA
MOLLUSCA P.,MOLLUSCA P.,4000,NA
GASTROPODA O.,SNAILS AND SLUGS,4200,NA
BUCCINIDAE F.,BUCCINIDAE F.,4209,NA
BUCCINUM SP.,WHELKS,4210,NA
BUCCINUM UNDATUM,"WAVE WHELK,COMMON EDIBLE",4211,NA
BUCCINUM SCALARIFORME,SILKY BUCCINUM,4212,NA
EUSPIRA HEROS,NORTHERN MOONSNAIL,4221,NA
MARGARITES COSTALIS,MARGARITES COSTALIS,4224,NA
MARGARITES GROENLANDICA,MARGARITES GROENLANDICA,4225,NA
NEPTUNEA DECEMCOSTATA,NEW ENGLAND NEPTUNE,4227,NA
COLUS SP.,SPINDLE SHELL,4228,NA
APORRHAIS SP.,DUCK OR PELICAN FOOT,4230,NA
NUCELLA LAPILLUS,NUCELLA LAPILLUS,4231,NA
NASSA BIVITTATA,NASSA BIVITTATA,4233,NA
LITTORINIDAE F.,PERIWINKLES,4250,NA
VELUTINA LAEVIGATA,VELVET SHELL,4252,NA
TROCHIDAE F.,TOP SHELLS,4255,NA
CALLIOSTOMA OCCIDENTALE,CALLIOSTOMA OCCIDENTALE,4259,NA
AMAUROPSIS ISLANDICA,AMAUROPSIS ISLANDICA,4260,NA
BIVALVIA C.,BIVALVIA C.,4300,NA
ARCTICA ISLANDICA,OCEAN QUAHAUG,4304,NA
PANDORA GOULDIANA,PANDORA GOULDIANA,4305,NA
ASTARTE UNDATA,ASTARTE UNDATA,4307,NA
NUCULA SP.,NUCULA SP.,4308,NA
"PROTOBRANCHIA, HETERODONTA",CLAMS (NS),4310,NA
VENUS MERCENARIA (OBSOLETE),QUAHAUG,4311,NA
CYRTODARIA SILIQUA,BANK CLAM,4312,NA
PITAR MORRHUANA,MORRHUA VENUSNA,4314,NA
SILIQUA SP.,RAZOR CLAM,4315,NA
ASTARTE SP.,ASTARTE SP.,4316,NA
SPISULA SOLIDISSIMA,"BAR,SURF CLAM",4317,NA
MYA ARENARIA,SOFT SHELL CLAM,4318,NA
HIATELLA ARCTICA,SOFT SHELL OR LONG NECK CLAM,4319,NA
PECTINIDAE F.,SCALLOPS,4320,NA
PLACOPECTEN MAGELLANICUS,SEA SCALLOP,4321,NA
CHLAMYS ISLANDICA,ICELAND SCALLOP,4322,NA
MERCENARIA MERCENARIA,HARD CLAM,4323,NA
ANOMIIDAE F.,ANOMIIDAE F.,4328,NA
MYTILIDAE F.,MUSSELS (NS),4330,NA
MYTILUS EDULIS,COMMON MUSSELS,4331,NA
MODIOLUS MODIOLUS,HORSE MUSSELS,4332,NA
MUSCULUS NIGER,MUSCULUS NIGER,4334,NA
CARDIIDAE F.,COCKLES,4340,NA
CLINOCARDIUM CILIATUM,ICELAND COCKLE,4342,NA
SERRIPES GROENLANDICUS,GREENLAND COCKLE,4343,NA
VENERICARDIA BOREALIS,HEART SHELL,4344,NA
CERASTODERMA PINNULATUM,NORTHERN DWARF COCKLE,4345,NA
SOLEMYA BOREALIS,SOLEMYA BOREALIS,4346,NA
NUCULIDAE F.,NUT SHELLS,4350,NA
MACTROMERIS POLYNYMA,"STIMPSON'S SURF CLAM, ARCTIC SURF CLAM",4355,NA
YOLDIA SAPOTILLA,YOLDIA SAPOTILLA,4356,NA
ANOMIA SIMPLEX,ANOMIA SIMPLEX,4380,NA
ANOMIA SP.,ANOMIA SP.,4381,NA
NUDIBRANCHIA O.,SEA SLUGS,4400,NA
DENDRONOTUS SP.,BUSHY BACKSLUG,4410,NA
SCAPHANDER PUNCTOSTRIATUS,GIANT CANOE BUBBLE,4431,NA
CEPHALOPODA C.,CEPHALOPODA C.,4500,NA
OMMASTREPHIDAE F.,OMMASTREPHIDAE F.,4510,NA
ILLEX ILLECEBROSUS,SHORT-FIN SQUID,4511,NA
LOLIGO PEALEII,"LONGFIN SQUID, LONGFIN INSHORE SQUID",4512,NA
"LOLIGINIDAE,OMMASTREPHIDAE F.",SQUID (NS),4514,NA
ILLEX SP.,ILLEX SP.,4515,NA
INCIRRINA S.O.,OCTOPUS,4520,NA
OCTOPODA O.,OCTOPUS,4521,NA
SEMIROSSIA TENERA,SEMIROSSIA TENERA,4522,NA
STAUROTEUTHIDAE F.,STAUROTEUTHIDAE F.,4527,NA
OCTOPODIDAE F.,OCTOPODIDAE F.,4529,NA
SEPIOLODAE F.,BOBTAIL SQUID,4536,NA
PYROTEUTHIS SP.,PYROTEUTHIS SP.,4560,NA
GONATIDAE F.,GONATIDAE F.,4568,NA
GONATUS SP.,GONATUS SP.,4569,NA
HISTIOTEUTHIDAE F.,HISTIOTEUTHIDAE F.,4574,NA
HISTIOTEUTHIS REVERSA,HISTIOTEUTHIS REVERSA,4580,NA
MASTIGOTEUTHIS SP.,MASTIGOTEUTHIS SP.,4584,NA
TAONIINAE S.F.,TAONIINAE S.F.,4590,NA
POLYPLACOPHORA C.,CHITONS,4700,NA
PYCNOGONIDA S.P.,SEA SPIDER,5100,NA
PYCNOGONIDAE O.,PYCNOGONIDAE O.,5101,NA
PYCNOGONUM LITTORALE,ANEMONE SEA SPIDER,5102,NA
ARCHAEOGASTROPODA O.,LIMPET (NS),5200,NA
ECHINODERMATA P.,SPINY SKINNED ANIMALS,6000,NA
BATHYNECTES MARAVIGNA (SUPERBUS),PORTUNID CRABS,6006,NA
ASTEROIDEA S.C.,ASTEROIDEA S.C.,6100,NA
ASTERIAS SP.,ASTERIAS SP.,6110,NA
ASTERIAS RUBENS,ASTERIAS RUBENS,6111,NA
LEPTASTERIAS POLARIS,LEPTASTERIAS POLARIS,6113,NA
CTENODISCUS CRISPATUS,MUD STAR,6115,NA
HIPPASTERIA PHRYGIANA,HIPPASTERIA PHRYGIANA,6117,NA
HENRICIA SANGUINOLENTA,BLOOD STAR,6119,NA
SOLASTER ENDECA,PURPLE SUNSTAR,6121,NA
CROSSASTER PAPPOSUS,SPINY SUNSTAR,6123,NA
PTERASTER MILITARIS,PTERASTER MILITARIS,6125,NA
PORANIOMORPHA HISPIDA,PORANIOMORPHA HISPIDA,6129,NA
PORANIOMORPHA BOREALIS,PORANIOMORPHA BOREALIS,6130,NA
DIPLOPTERASTER MULTIPES,DIPLOPTERASTER MULTIPES,6131,NA
PONTASTER SP.,PONTASTER SP.,6133,NA
LEPTASTERIAS TENERA,SLENDER ARMED SEA STAR,6134,NA
ASTROTECTEN DUPLICATUS,ASTROTECTEN DUPLICATUS,6135,NA
